raylo_category,purpose,signal_form,best_iv,iv_month12,necessity,cash_flow_type,is_debt_related,is_priority_debt,risk_flag,equifax_source,plaid_source,notes,signal_stability
recurring_unclassified,predictive_and_ml_target,persistence,0.1813,0.1496,mixed_basket,spend,false,false,none,Misc Regular Payments | (null),,TOP PREDICTOR and uncategorised - highest-value target for merchant/ML layer,decays
online_marketplace_amazon,predictive,persistence,0.1629,0.0891,mixed_basket,spend,false,false,none,Amazon All | Amazon,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,kept separate from other e-commerce - materially higher IV,decays
tv_licence,predictive_and_regulatory,persistence,0.1340,0.0994,essential,spend,false,true,none,Utilities | TV Licences,,no Plaid equivalent - reachable only via merchant layer,decays
internet_broadband,predictive,persistence,0.1254,0.0713,essential,spend,false,false,none,"Utilities | Internet, TV and Phone",RENT_AND_UTILITIES_INTERNET_AND_CABLE,,decays
mobile_phone,predictive,persistence,0.1193,0.0981,essential,spend,false,false,none,Utilities | Mobile Phone Contracts,RENT_AND_UTILITIES_TELECOMMUNICATIONS,STRONGEST RAYLO ANALOGUE - sustained device/airtime commitment; 20x IV gain from persistence form,decays
credit_card,predictive,persistence,0.1123,0.1084,essential,debt_repayment,true,false,none,Financial Services | Credit Cards,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,,stable
water_utility,predictive_and_regulatory,persistence,0.1121,0.1091,essential,spend,false,true,none,Utilities | Water Companies,RENT_AND_UTILITIES_WATER,,stable
online_payment_system,predictive,persistence,0.1105,0.0937,mixed_basket,spend,false,false,none,Shopping (Discretionary) | E-Commerce Payment System,,PayPal/Klarna-style intermediaries - no clean Plaid equivalent,stable
council_tax,predictive_and_regulatory,persistence,0.1005,0.0901,essential,spend,false,true,none,Utilities | Council,GOVERNMENTS_AND_NON_PROFIT_GOVERNMENTS_AND_NON_PROFIT,Plaid bundles with other govt payments - merchant layer must disambiguate,stable
insurance_general,predictive,persistence,0.0938,0.0846,essential,spend,false,false,none,Insurance | General Insurance,INSURANCE_AND_TAX_INSURANCE,,stable
unclassified_card_spend,ml_target,persistence,0.0933,0.0413,mixed_basket,spend,false,false,none,Misc Card Spend | (null),,95% prevalence - second-largest ML target,decays
road_tax,predictive,persistence,0.0931,0.0764,essential,spend,false,false,none,Automotive | Road Tax,,no Plaid equivalent,stable
groceries,predictive_and_affordability,persistence,0.0899,0.0316,essential,spend,false,false,none,Shopping (Household Essentials) | General Groceries,FOOD_RETAIL_GROCERIES,absorbs Discount Stores and Cash & Carry - both near-zero IV standalone,decays
personal_loan,predictive,persistence,0.0879,0.0579,essential,debt_repayment,true,false,none,Financial Services | Personal Loans,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,,decays
bnpl,predictive_and_regulatory,persistence,0.0870,0.0424,essential,debt_repayment,true,false,high_cost_credit,Financial Services | BNPL,LOAN_PAYMENTS_BNPL_AND_EWA,Plaid bundles BNPL with Earned Wage Access,decays
salary,affordability,persistence,0.0844,,not_applicable,income,false,false,none,Identified Salary | (null),INCOME_SALARY,"TESTED - persistence best form (share 0.0765, variability 0.0664, count 0.0592). Strongest income signal but well below top debit features",
energy_utility,predictive_and_regulatory,persistence,0.0814,0.0669,essential,spend,false,true,none,Utilities | Energy Providers,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,,stable
home_goods,predictive,persistence,0.0809,0.0417,mixed_basket,spend,false,false,none,Shopping (Home) | Home Accessories,GENERAL_MERCHANDISE_FURNITURE_AND_HARDWARE,absorbs Home Improvements/Tools/Garden,decays
car_parking,predictive,persistence,0.0758,0.0658,essential,spend,false,false,none,Commuting and travel | Car Parking,,no Plaid equivalent,stable
streaming_music,predictive,persistence,0.0694,0.0477,discretionary,spend,false,false,none,Shopping (Discretionary) | Music and Downloads,,Plaid bundles streaming with games and cinema - real signal loss,decays
software_subscription,predictive,persistence,0.0671,0.0363,discretionary,spend,false,false,none,Shopping (Discretionary) | Software,,absorbs Services | Web Services,decays
clothing,predictive,persistence,0.0658,0.0392,mixed_basket,spend,false,false,none,Shopping (Fashion) | General Fashion,GENERAL_MERCHANDISE_APPAREL_AND_ACCESSORIES,absorbs Womens/Mens/Footwear - all near-zero standalone,decays
mortgage,predictive_and_regulatory,persistence,0.0653,0.0865,essential,debt_repayment,true,true,none,Rent and Mortgage | Mortgages,LOAN_PAYMENTS_MORTGAGE_AND_AUTO,,strengthens
insurance_motor,predictive,persistence,0.0644,0.0483,essential,spend,false,false,none,Insurance | Motor Insurance,,,stable
restaurant_cafe,predictive,persistence,0.0618,0.0295,discretionary,spend,false,false,none,"Restaurants and takeaway | Restaurants, Cafes and Bistros",DINING_DINING,,decays
car_finance,predictive,persistence,0.0609,0.0480,essential,debt_repayment,true,false,none,Financial Services | Car Finance,,no clean Plaid equivalent,stable
fuel,predictive,persistence,0.0565,0.0339,essential,spend,false,false,none,Commuting and travel | Fuel,,Plaid bundles fuel with automotive maintenance,decays
unclassified_inflow,ml_target,count,0.0536,,not_applicable,transfer_own_accounts,false,false,none,Transfers / Other | (null) [credit],TRANSFER_IN_OTHER,"NEW - uncategorised INFLOW, 91.3% prevalence. Credit-side ML target",
charitable_giving,predictive,persistence,0.0523,0.0359,discretionary,spend,false,false,none,Charitable Giving | (null),GOVERNMENTS_AND_NON_PROFIT_DONATIONS,,stable
pub_bar,predictive,persistence,0.0510,,discretionary,spend,false,false,none,Restaurants and takeaway | Pubs and Bars,DINING_WINE_BARS_AND_PUBS,,
books_media,predictive,persistence,0.0510,0.0338,discretionary,spend,false,false,none,"Books, Newspapers and Magazines | General Books",,,stable
