category_path,leaf,notes
,unclassified_other,null / blank category array
Transfer - Debit,unclassified_transfer,same catch-all as PFC TRANSFER_OUT_OTHER
Transfer - Credit,unclassified_transfer,same catch-all as PFC TRANSFER_IN_OTHER
Shops - Supermarkets and Groceries,groceries,
Food and Drink - Restaurants,restaurant_cafe,
Recreation - Arts and Entertainment - Casinos and Gaming,gambling_unspecified,Plaid has no gambling subtypes
Shops - Digital Purchase,retail_tv_online_shopping,app stores / in-app
Transfer - Payroll,salary,
Transfer - Third Party,unclassified_transfer,standing orders and FPS; purpose unknown
Food and Drink - Restaurants - Fast Food,takeaway,
Travel - Gas Stations,fuel,
Service - Telecommunication Services,mobile_phone_contract,same convention as PFC TELECOMMUNICATIONS
Service - Financial,financial_services_other,too coarse for a product leaf
Shops,retail_other,
Bank Fees - Overdraft,overdraft_arranged,Plaid does not split arranged/unarranged
Travel - Taxi,taxi_rideshare,
Community - Government Departments and Agencies,government_services,
Travel - Public Transportation Services,public_transport_rail_coach,
Transfer - Withdrawal - ATM,cash_withdrawal,
Shops - Clothing and Accessories,clothing_general,
Service - Subscription,online_services,gyms/software/media mixed
Shops - Convenience Stores,convenience_store,
Service - Insurance,insurance_general,
Transfer - Internal Account Transfer,transfer_own_account,
Service - Entertainment,entertainment_other,
Service - Business Services,business_services,
Shops - Computers and Electronics,computing_devices,
Service - Financial - Loans and Mortgages,personal_loan_repayment,debit-shaped; credits still land here at T6
Shops - Department Stores,department_store,
Interest - Interest Earned,savings_interest_received,
Food and Drink - Restaurants - Coffee Shop,restaurant_cafe,
Service,services_unspecified,
Travel - Parking,car_parking,
Tax - Refund,tax_refund,
Service - Utilities,utility_other,
Shops - Pharmacies,pharmacy,
Bank Fees - Foreign Transaction,account_charge,same as PFC BANK_FEES_FOREIGN_TRANSACTION_FEES
Service - Utilities - Electric,energy,
Community - Post Offices,services_unspecified,Post Office is cash/bills/shop mixed
Transfer - Keep the Change Savings Program,savings_transfer,
Payment - Rent,rent,
Shops - Hardware Store,home_improvement,
Payment,unclassified_other,
Travel - Rail,public_transport_rail_coach,
Service - Financial - Financial Planning and Investments,investment_general,
Shops - Beauty Products,health_beauty_general,
Service - Personal Care,health_beauty_general,
Travel - Airlines and Aviation Services,flights,
Shops - Pets,pet_supplies,
Recreation - Arts and Entertainment,entertainment_other,
Recreation - Gyms and Fitness Centers,gym_fitness,
Service - Utilities - Gas,energy,
Community - Organizations and Associations - Charities and Non-Profits,charitable_donation,
Shops - Gift and Novelty,gifts_flowers,
Shops - Furniture and Home Decor,home_accessories,
Bank Fees,account_charge,
Payment - Credit Card,credit_card_repayment,
Shops - Sporting Goods,sportswear,
Service - Utilities - Water,water,
Food and Drink - Bar,pub_bar,
Recreation - Sports and Recreation Camps,sports_participation,
Travel - Lodging - Hotels and Motels,accommodation,
Shops - Bookstores,books,
Service - Automotive,vehicle_servicing,
Travel - Lodging,accommodation,
Recreation - Arts and Entertainment - Movie Theatres,cinema,
Travel,transport_other,
Transfer - Withdrawal,cash_withdrawal,
Service - Shipping and Freight,delivery_courier,
Service - Cable,broadband_tv_phone,
Tax - Payment,tax_payment,
Healthcare - Healthcare Services,health_other,
Service - Food and Beverage - Catering,catering,
Shops - Children,baby_products,
Recreation - Arts and Entertainment - Music and Show Venues,live_music,
Shops - Clothing and Accessories - Shoe Store,footwear,
Payment - Loan,personal_loan_repayment,
Community - Education - Colleges and Universities,education_general,
Service - Home Improvement,home_repair,
Transfer - Deposit - ATM,cash_deposit,
Shops - Hobby and Collectibles,arts_crafts,
Shops - Glasses and Optometrist,optician,
Travel - Car and Truck Rentals,car_hire,
Shops - Automotive - Car Dealers and Leasing,vehicle_purchase,dealers and lease mixed; T4/T2 must split
Healthcare - Healthcare Services - Dentists,dentist,
Community,government_services,
Travel - Tolls and Fees,tolls,
"Shops - Food and Beverage Store - Beer, Wine and Spirits",alcohol_beer_spirits,
Service - Cleaning,cleaning_services,
Service - Internet Services,broadband_tv_phone,
Service - Legal,legal_services,
Service - Computers,it_services,
Shops - Computers and Electronics - Video Games,gaming_console_pc,
Transfer - Billpay,unclassified_transfer,
Service - Real Estate,estate_agent,
Transfer - Deposit - Check,cheque,
Service - Financial - Accounting and Bookkeeping,accountancy,
Interest - Interest Charged,interest_charged,
Shops - Office Supplies,office_supplies,
Bank Fees - ATM,account_charge,
Service - Storage,storage,
Community - Education,education_general,
Food and Drink,restaurant_cafe,
"Healthcare - Healthcare Services - Hospitals, Clinics and Medical Centers",hospital,
Community - Religious,charitable_donation,
Travel - Lodging - Lodges and Vacation Rentals,holiday_rental,
Service - Manufacturing,business_services,
Healthcare - Healthcare Services - Optometrists,optician,
Transfer - Withdrawal - Check,cheque,
Shops - Vintage and Thrift,retail_other,
Transfer - Deposit,cash_deposit,
Shops - Clothing and Accessories - Women's Store,clothing_womens,
Food and Drink - Restaurants - Pizza,takeaway,
Recreation,entertainment_other,
Community - Organizations and Associations,charitable_donation,
