merchant,eqx_leaf,llm_consensus_leaf,dict_leaf,haiku_confidence,sonnet_confidence,plaid_n,recommended_leaf,decision,review_confidence,rationale,verification_url
revolut,transfer_bank_unspecified,transfer_own_account,transfer_own_account,0.95,0.85,24323,transfer_own_account,both_agree,high,LLM and dictionary already agree,
google play,gaming_mobile,software,software,0.99,0.9,19351,software,both_agree,high,LLM and dictionary already agree,
vinted,clothing_general,marketplace_amazon,marketplace_amazon,0.95,0.85,13350,marketplace_amazon,both_agree,high,LLM and dictionary already agree,
home bargains,home_accessories,discount_store,discount_store,0.99,0.95,11392,discount_store,both_agree,high,LLM and dictionary already agree,
ebay,retail_tv_online_shopping,marketplace_amazon,marketplace_amazon,0.99,0.9,11260,marketplace_amazon,both_agree,high,LLM and dictionary already agree,
monzo,transfer_bank_unspecified,transfer_own_account,transfer_own_account,0.95,0.8,10582,transfer_own_account,both_agree,high,LLM and dictionary already agree,
b&m,home_improvement,discount_store,discount_store,0.99,0.95,8720,discount_store,both_agree,high,LLM and dictionary already agree,
marks & spencer,credit_card_repayment,department_store,,0.99,0.9,8104,department_store,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
netflix,broadband_tv_phone,streaming_music,streaming_music,0.99,0.95,6622,streaming_music,both_agree,high,LLM and dictionary already agree,
nisa,groceries,convenience_store,groceries,0.95,0.85,5696,convenience_store,llm_wins,high,The brand operates neighbourhood convenience stores so this is more specific than groceries,https://www.nisalocally.co.uk/media/xelh3awx/nisa-gender-pay-gap-report-2021-march-2022.pdf
amazon prime video,marketplace_amazon,streaming_music,streaming_music,0.99,0.85,4663,streaming_music,both_agree,high,LLM and dictionary already agree,
creditspring,personal_loan_repayment,payday_loan,payday_loan,0.99,0.9,4011,payday_loan,both_agree,high,LLM and dictionary already agree,
boots,health_beauty_general,pharmacy,pharmacy,0.99,0.9,4002,pharmacy,both_agree,high,LLM and dictionary already agree,
superdrug,health_beauty_general,pharmacy,pharmacy,0.99,0.9,3660,pharmacy,both_agree,high,LLM and dictionary already agree,
costcutter,groceries,convenience_store,groceries,0.95,0.85,2751,convenience_store,llm_wins,high,The brand operates neighbourhood convenience stores so this is more specific than groceries,https://www.costcutter.co.uk/about-us/
shein,clothing_womens,clothing_general,clothing_general,0.99,0.9,2661,clothing_general,both_agree,high,LLM and dictionary already agree,
tiktok,web_services,online_services,online_services,0.99,0.85,2434,online_services,both_agree,high,LLM and dictionary already agree,
spar,groceries,convenience_store,groceries,0.95,0.85,2396,convenience_store,llm_wins,high,The brand operates neighbourhood convenience stores so this is more specific than groceries,https://www.spar.co.uk/about-spar/
gocardless,unclassified_recurring,payment_intermediary,payment_intermediary,0.99,0.85,2161,payment_intermediary,both_agree,high,LLM and dictionary already agree,
admiral,insurance_general,insurance_motor,,0.99,0.9,1747,insurance_motor,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
costco,department_store,cash_and_carry,groceries,0.95,0.75,1721,cash_and_carry,llm_wins,high,Costco is a membership cash-and-carry warehouse rather than a grocery-only merchant,https://www.costco.co.uk/medias/sys_master/default/h89/h6d/468183195713566.pdf
pret a manger,takeaway,restaurant_cafe,restaurant_cafe,0.99,0.85,1481,restaurant_cafe,both_agree,high,LLM and dictionary already agree,
matalan,department_store,clothing_general,clothing_general,0.85,0.85,1230,clothing_general,both_agree,high,LLM and dictionary already agree,
mcqueens dairies,groceries,groceries_specialist,groceries,0.8,0.6,1149,groceries_specialist,llm_wins,high,The merchant specialises in recurring doorstep dairy and related essentials,https://www.mcqueensdairies.co.uk/
welcome break,restaurant_cafe,convenience_store,convenience_store,0.88,0.7,1090,convenience_store,both_agree,high,LLM and dictionary already agree,
onlyfans,web_services,adult_entertainment,adult_entertainment,0.98,0.95,1049,adult_entertainment,both_agree,high,LLM and dictionary already agree,
currys,electrical_goods,computing_devices,computing_devices,0.9,0.85,918,computing_devices,both_agree,high,LLM and dictionary already agree,
jd williams,clothing_general,catalogue_retail,catalogue_retail,0.92,0.9,850,catalogue_retail,both_agree,high,LLM and dictionary already agree,
freemans,retail_finance_repayment,catalogue_retail,,0.9,0.85,831,catalogue_retail,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
taco bell,restaurant_cafe,takeaway,,0.95,0.8,631,takeaway,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
new look,clothing_womens,clothing_general,clothing_general,0.92,0.9,607,clothing_general,both_agree,high,LLM and dictionary already agree,
facebook,web_services,online_services,online_services,0.92,0.8,603,online_services,both_agree,high,LLM and dictionary already agree,
patreon,memberships,online_services,,0.88,0.75,535,online_services,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
omaze,gambling_lottery,prize_competitions,,0.92,0.85,467,prize_competitions,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
pet health club,veterinary,pet_supplies,,0.85,0.6,460,pet_supplies,llm_only_no_dict,not_applicable,Dictionary leaf is blank so the LLM leaf is the only supplied candidate,
holland & barrett,health_beauty_general,supplements,supplements,0.95,0.9,447,supplements,both_agree,high,LLM and dictionary already agree,
paypal credit,bnpl,payment_intermediary,bnpl,0.9,0.7,446,bnpl,dict_wins,high,PayPal Credit is a consumer credit product and repayment facility rather than a payment intermediary,https://www.paypal.com/uk/cshelp/article/what-is-paypal-credit-and-where-can-i-use-it--help472
boohoo,clothing_womens,clothing_general,clothing_general,0.93,0.9,437,clothing_general,both_agree,high,LLM and dictionary already agree,
now tv,broadband_tv_phone,streaming_music,streaming_music,0.9,0.75,436,streaming_music,both_agree,high,LLM and dictionary already agree,
