row,gold_set,provider,merchant_raw,description_raw,amount,direction,gold_leaf,gold_general,review_notes,agree,native_category_raw,plaid_leaf,plaid_general,pipeline_leaf,pipeline_general,pipeline_tier,gold_matches_plaid,gold_matches_pipeline,gold_matches_plaid_general,gold_matches_pipeline_general,llm_consensus_leaf,llm_consensus_general,llm_consensus_how,gold_matches_llm_consensus,gemini_leaf,sonnet_leaf,opus_leaf,haiku_draft_leaf,sonnet_draft_leaf
1,v4_unmatched_plaid,plaid,S Hussain Barry,S  Hussain        Barry             VIA MOBILE - PYMT FP 08/09/25 10    26172239350667000N,50.0,debit,transfer_p2p,transfers,Named person S Hussain; mobile FPS debit; no other purpose in the narrative.,yes,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,transfer_p2p,transfers,T4_dictionary,no,yes,no,yes,transfer_p2p,transfers,gemini_sonnet_agree,yes,transfer_p2p,transfer_p2p,transfer_p2p,transfer_p2p,transfer_p2p
2,v4_unmatched_plaid,plaid,M Rafferty Amy,M rafferty        Amy,80.0,debit,transfer_p2p,transfers,Named person M Rafferty Amy; debit with no product or merchant purpose.,yes,TRANSFER_OUT_OTHER,unclassified_transfer,unclassified,transfer_p2p,transfers,T4_dictionary,no,yes,no,yes,transfer_p2p,transfers,gemini_sonnet_agree,yes,transfer_p2p,transfer_p2p,transfer_p2p,transfer_p2p,transfer_p2p
3,v4_unmatched_plaid,plaid,Goodramgateltd,MS* GOODRAMGATELTD,316.8,debit,unclassified_other,unclassified,"MS* GOODRAMGATELTD: Goodramgate Ltd is a York construction company, while native is dining and Goodramgate is a restaurant street. Name collision; do not force restaurant_cafe.",yes,DINING_DINING,restaurant_cafe,eating_drinking_out,restaurant_cafe,eating_drinking_out,T6_native_fallback,no,no,no,no,unclassified_other,unclassified,opus_tiebreak,yes,accommodation,unclassified_other,unclassified_other,restaurant_cafe,restaurant_cafe
4,v4_unmatched_plaid,plaid,Cd Mr,3859 09AUG25 CD   MR MULLIGANS      NORWICH           NORWICH GB,4.0,debit,days_out,entertainment_leisure,"Override both models' pub_bar. CD MR MULLIGANS NORWICH is Mr Mulligan's crazy-golf / games venue; £4 is venue spend. Primary business is days out, not a pub.",yes,FOOD_RETAIL_GROCERIES,groceries,groceries_household_essentials,groceries,groceries_household_essentials,T6_native_fallback,no,no,no,no,pub_bar,eating_drinking_out,opus_tiebreak,no,days_out,pub_bar,pub_bar,pub_bar,pub_bar
5,v4_unmatched_plaid,plaid,Trainline,8499 02OCT25  D   TRAINLINE         WWW.THETRAINL GB,3.4,debit,public_transport_rail_coach,transport_motoring,Trainline rail-ticket debit; public-transit native matches.,yes,TRAVEL_AND_TRANSPORTATION_PUBLIC_TRANSIT,public_transport_rail_coach,transport_motoring,public_transport_rail_coach,transport_motoring,T6_native_fallback,yes,yes,yes,yes,public_transport_rail_coach,transport_motoring,gemini_sonnet_agree,yes,public_transport_rail_coach,public_transport_rail_coach,public_transport_rail_coach,public_transport_rail_coach,public_transport_rail_coach
6,v4_unmatched_plaid,plaid,Priyo Bazaar Cd,PRIYO BAZAAR CD 2217,24.98,debit,groceries_specialist,groceries_household_essentials,"Priyo Bazaar is a specialist ethnic grocery (halal meat, Bangladeshi goods).",yes,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,retail_other,general_retail_marketplaces,retail_other,general_retail_marketplaces,T6_native_fallback,no,no,no,no,groceries_specialist,groceries_household_essentials,gemini_sonnet_agree,yes,groceries_specialist,groceries_specialist,groceries_specialist,groceries_specialist,groceries_specialist
7,v4_unmatched_plaid,plaid,Morr Paignton,MORR PAIGNTON Morr Paignton,25.0,debit,groceries,groceries_household_essentials,"MORR PAIGNTON is Morrisons Paignton supermarket. Gambling native is spurious; £25 is typical grocery spend, not a bookmaker.",no,ENTERTAINMENT_CASINOS_AND_GAMBLING,gambling_unspecified,gambling,gambling_unspecified,gambling,T6_native_fallback,no,no,no,no,unclassified_other,unclassified,opus_tiebreak,no,groceries,unclassified_other,unclassified_other,unclassified_other,gambling_unspecified
8,v4_unmatched_plaid,plaid,Prime Video Add-on,Prime Video*H73XV8  ON 31 OCT BCC PRIME  VIDEO ADD-ON,7.99,debit,streaming,digital_subscriptions_services,Prime Video add-on subscription; established streaming holds.,established,ENTERTAINMENT_MUSIC_VIDEO_GAMES_TV_AND_MOVIES,entertainment_other,entertainment_leisure,entertainment_other,entertainment_leisure,T6_native_fallback,no,no,no,no,streaming,digital_subscriptions_services,gemini_sonnet_agree,yes,streaming,streaming,streaming,,
9,v4_unmatched_plaid,plaid,Chaotic,1326 10AUG25  D   CHAOTIC           REDHILL GB,5.25,debit,prize_competitions,gambling,"Chaotic Redhill is Chaotic.co.uk prize-draw competitions (Chaoss Entertainment, Redhill), not a restaurant.",established,ENTERTAINMENT_OTHER_ENTERTAINMENT,entertainment_other,entertainment_leisure,entertainment_other,entertainment_leisure,T6_native_fallback,no,no,no,no,unclassified_other,unclassified,gemini_sonnet_agree,no,unclassified_other,unclassified_other,unclassified_card_spend,,
10,v4_unmatched_plaid,plaid,St George's School Sho,"ST GEORGE'S SCHOOL SHO (VIA APPLE PAY), ON 10-10-2025",1.5,debit,school_fees,childcare_education,St George's School shop Apple Pay; school_fees is the closest education leaf (brief/worked example).,established,CHILDCARE_AND_EDUCATION_CHILDCARE_AND_EDUCATION,childcare,childcare_education,school_fees,childcare_education,T4_dictionary,no,yes,yes,yes,school_fees,childcare_education,gemini_sonnet_agree,yes,school_fees,school_fees,school_fees,,
