normalised_merchant,detailed_category,confidence,source,review_status,notes
tesco,groceries,high,llm_proposed,pending,
asda,groceries,high,llm_proposed,pending,
sainsbury's,groceries,high,llm_proposed,pending,
co-op,groceries,high,llm_proposed,pending,
morrisons,groceries,high,llm_proposed,pending,
aldi,groceries,high,llm_proposed,pending,
lidl,groceries,high,llm_proposed,pending,
iceland,groceries,high,llm_proposed,pending,
spar,groceries,high,llm_proposed,pending,
one stop,groceries,high,llm_proposed,pending,
nisa,groceries,high,llm_proposed,pending,
londis,groceries,high,llm_proposed,pending,
costcutter,groceries,high,llm_proposed,pending,
heron foods,groceries,high,llm_proposed,pending,
waitrose,groceries,high,llm_proposed,pending,
farmfoods,groceries,high,llm_proposed,pending,
budgens,groceries,high,llm_proposed,pending,
premier stores,groceries,high,llm_proposed,pending,
best-one,groceries,high,llm_proposed,pending,
centra,groceries,high,llm_proposed,pending,
keystore,groceries,high,llm_proposed,pending,
martin mccoll,convenience_store,high,llm_proposed,pending,
central england co-op,groceries,high,llm_proposed,pending,
the southern co-op,groceries,high,llm_proposed,pending,
scotmid co-op,groceries,high,llm_proposed,pending,
east of england co-op,groceries,high,llm_proposed,pending,
marks and spencer food,groceries,high,llm_proposed,pending,
costco,groceries,medium,llm_proposed,pending,"warehouse club - mixed basket; Plaid says superstore, Equifax says dept store"
mcqueens dairies,groceries_specialist,high,llm_proposed,pending,doorstep milk delivery - adjudicated 2026-08-19
bargain booze,alcohol_beer_spirits,high,llm_proposed,pending,age-restricted
home bargains,discount_store,high,llm_proposed,pending,
b&m,discount_store,high,llm_proposed,pending,
poundland,discount_store,high,llm_proposed,pending,
poundstretcher,discount_store,high,llm_proposed,pending,
onebelow,discount_store,high,llm_proposed,pending,
the range,home_accessories,high,llm_proposed,pending,
wilko.com,home_accessories,high,llm_proposed,pending,
the works,books,medium,llm_proposed,pending,books/craft discount retailer
mcdonalds,takeaway,high,llm_proposed,pending,
mcdonald's,takeaway,high,llm_proposed,pending,
kfc,takeaway,high,llm_proposed,pending,
subway,takeaway,high,llm_proposed,pending,
burger king,takeaway,high,llm_proposed,pending,
dominos pizza,takeaway,high,llm_proposed,pending,
pizza hut,takeaway,high,llm_proposed,pending,
nandos,restaurant_cafe,high,llm_proposed,pending,
leon,restaurant_cafe,high,llm_proposed,pending,
greggs,restaurant_cafe,high,llm_proposed,pending,
costa,restaurant_cafe,high,llm_proposed,pending,
starbucks,restaurant_cafe,high,llm_proposed,pending,
caffe nero,restaurant_cafe,high,llm_proposed,pending,
pret a manger,restaurant_cafe,high,llm_proposed,pending,
just eat,takeaway,high,llm_proposed,pending,"delivery aggregator - Plaid says DINING, we say takeaway"
uber eats,takeaway,high,llm_proposed,pending,delivery aggregator
deliveroo,takeaway,high,llm_proposed,pending,delivery aggregator
foodhub,takeaway,high,llm_proposed,pending,
takeaway.je,takeaway,high,llm_proposed,pending,
wetherspoon,pub_bar,high,llm_proposed,pending,age-restricted
greene king,pub_bar,high,llm_proposed,pending,age-restricted
the red lion,pub_bar,medium,llm_proposed,pending,generic pub name - may aggregate many venues
selecta,confectionary,medium,llm_proposed,pending,vending machine operator
lavazza professional,confectionary,medium,llm_proposed,pending,workplace coffee vending
welcome break,convenience_store,medium,llm_proposed,pending,motorway services - mixed fuel/food/retail
sky bet,gambling_betting,high,llm_proposed,pending,
skybet,gambling_betting,high,llm_proposed,pending,
ladbrokes,gambling_betting,high,llm_proposed,pending,
bet365,gambling_betting,high,llm_proposed,pending,
paddy power,gambling_betting,high,llm_proposed,pending,
william hill,gambling_betting,high,llm_proposed,pending,
