merchant,gold_leaf,gold_source,stratum,plaid_n,notes
apple,software,consensus_correct,top_volume,68084.0,
amazon,marketplace_amazon,consensus_correct,top_volume,64672.0,
mcdonald's,takeaway,consensus_correct,top_volume,35585.0,
transport for london,public_transport_rail_coach,consensus_correct,top_volume,25145.0,
current,transfer_own_account,consensus_correct,top_volume,21427.0,
skybet,gambling_betting,consensus_correct,top_volume,18302.0,
lc international,gambling_unspecified,sonnet_correct,top_volume,14221.0,The legal entity name and narratives do not reveal a classifiable activity.
hm revenue and customs,benefits_state,consensus_correct,top_volume,13968.0,
raylo,retail_finance_repayment,consensus_correct,top_volume,11226.0,
icelandair,groceries,consensus_correct,top_volume,10390.0,The raw narratives identify Iceland Foods despite the misleading merchant normalisation.
tesco petrol,fuel,consensus_correct,top_volume,8617.0,
amazon prime,streaming,consensus_correct,top_volume,8562.0,
a c,transfer_bank_unspecified,override,top_volume,8327.0,The narratives show account transfers but do not establish the purpose or ownership.
trainline,public_transport_rail_coach,sonnet_correct,top_volume,7445.0,
sony playstation,gaming_console_pc,consensus_correct,top_volume,7352.0,
temu,marketplace_general,consensus_correct,top_volume,7010.0,
domestic & general,insurance_general,consensus_correct,top_volume,5596.0,
jd wetherspoon,pub_bar,consensus_correct,top_volume,5390.0,
flex,unclassified_other,unclassifiable,top_volume,5163.0,“Flex” alone carries no reliable category signal.
tiktok shop,marketplace_general,consensus_correct,top_volume,4994.0,
coop,groceries,consensus_correct,top_volume,4991.0,
three uk,mobile_phone_contract,consensus_correct,top_volume,4854.0,
costa coffee,restaurant_cafe,consensus_correct,top_volume,4565.0,
zable,credit_card_repayment,consensus_correct,top_volume,4537.0,
ee,mobile_phone_contract,consensus_correct,top_volume,4526.0,
jackpotjoy,gambling_bingo,consensus_correct,top_volume,4026.0,
microsoft xbox,gaming_console_pc,consensus_correct,top_volume,3710.0,
utilita energy,energy,consensus_correct,top_volume,3392.0,
disney+,streaming,consensus_correct,top_volume,3167.0,
giffgaff,mobile_phone_contract,consensus_correct,top_volume,3165.0,
chaotic,prize_competitions,override,top_volume,3148.0,The name and Google descriptor do not reveal what was purchased.
evans,transfer_p2p,consensus_correct,top_volume,3112.0,
ringgo,car_parking,consensus_correct,top_volume,3091.0,
